% Generated by PAnDConv in Thu Oct 27 00:55:52 2011
% Author: Paulo Joia Filho
% instances: 255
% dimension: 25

@RELATION DY

@ATTRIBUTE	id	STRING
@ATTRIBUTE	wavelet3	REAL
@ATTRIBUTE	wavelet12	REAL
@ATTRIBUTE	gabor28	REAL
@ATTRIBUTE	colormoments14	REAL
@ATTRIBUTE	colormoments22	REAL
@ATTRIBUTE	colormoments23	REAL
@ATTRIBUTE	colormoments26	REAL
@ATTRIBUTE	colormoments42	REAL
@ATTRIBUTE	colormoments46	REAL
@ATTRIBUTE	colormoments49	REAL
@ATTRIBUTE	colormoments52	REAL
@ATTRIBUTE	colormoments55	REAL
@ATTRIBUTE	colormoments58	REAL
@ATTRIBUTE	colormoments63	REAL
@ATTRIBUTE	colormoments81	REAL
@ATTRIBUTE	colormoments85	REAL
@ATTRIBUTE	colormoments93	REAL
@ATTRIBUTE	colormoments94	REAL
@ATTRIBUTE	colormoments95	REAL
@ATTRIBUTE	colormoments104	REAL
@ATTRIBUTE	colormoments107	REAL
@ATTRIBUTE	colormoments109	REAL
@ATTRIBUTE	colormoments116	REAL
@ATTRIBUTE	colormoments132	REAL
@ATTRIBUTE	colormoments138	REAL
@ATTRIBUTE	class {1,2,3}

@DATA
0,0.56859,0.53713,0.46577,0.063639,0.17213,0.063165,0.040583,0.066536,0.57599,0.17991,0.63609,0.57837,0.15764,0.29334,0.20917,0.085604,0.33933,0.089377,0.19638,0.11381,0.3391,0.81468,0.22862,0.056935,0.14872,1
1,0.5917,0.061051,0.36191,0.32752,0.54501,0.43015,0.29218,0.090691,0.57695,0.41077,0.57698,0.55723,0.56799,0.33475,0.33284,0.29747,0.23784,0.50688,0.46905,0.31123,0.24098,0.55032,0.23094,0.25532,0.020865,1
2,0.071165,0.12554,0.10812,0.026658,0.02377,0.042114,0.40199,0.097154,0.87691,0.076769,0.71147,0.88091,0.038654,0.36936,0.17035,0.10897,0.20553,0.096569,0.2153,0.21599,0.26729,0.95739,0.16467,0.16992,0.34282,1
3,0.33972,0.55616,0.80823,0.014836,0.29604,0.048266,0.092207,0.057025,0.56587,0.28778,0.48014,0.55675,0.30883,0.42721,0.090569,0.12981,0.55596,0.30434,0.41303,0.36585,0.30158,0.5345,0.01868,0.22741,0.016939,1
4,0.19357,0.32517,0.15538,0.003466,0.023738,0.016954,0.048438,0.32719,0.82929,0.09708,0.89483,0.85343,0.14499,0.45708,0.16712,0.41694,0.4277,0.36464,0.67333,0.53697,0.55999,0.9906,0.092719,0.011011,0.014119,1
5,0.99936,0.92677,0.62676,0.051077,0,0,0.099471,0.001351,0.75774,0.1374,0.75916,0.65721,0.10836,0.57786,0.005517,0.30137,0.50059,0.31082,0.70915,0.33367,0.55313,0.45872,0.000642,0,0,1
6,0.40767,0.29007,0.35488,0.063907,0.068308,0.077008,0.26767,0.060621,0.65046,0.1602,0.37988,0.74328,0.077938,0.13454,0.31089,0.069126,0.30771,0.099536,0.21161,0.15522,0.29474,0.6655,0.22193,0.097363,0.27911,1
7,0.79127,0.028081,0.09191,0.069104,0.016214,0.042678,0.18114,0.097376,0.62199,0.11711,0.72731,0.59662,0.069058,0.34239,0.33636,0.04271,0.65229,0.058141,0.13687,0.12694,0.56458,0.96697,0.29187,0.19618,0.087864,1
8,0.15342,0.001928,0.074553,0.060464,0.003251,0.032076,0.2585,0.0391,0.60298,0.070012,0.82124,0.60372,0.047248,0.42652,0.52297,0.163,0.23494,0.14979,0.1904,0.15293,0.75235,0.66578,0.11557,0.089419,0.016848,1
9,0.45097,0.31979,0.22535,0.55778,0.56778,0.61103,0.34733,0.40365,0.85618,0.61887,0.34295,0.84317,0.76493,0.45006,0.64696,0.45699,0.07564,0.53655,0.62734,0.6009,0.37981,0.85142,0.39083,0.21591,0.1547,1
10,0.22817,0.78102,0.30716,0.26595,0.29839,0.33424,0.2384,0.33685,0.9102,0.21046,0.459,0.84412,0.13783,0.14346,0.28063,0.30619,0.24219,0.22327,0.30269,0.21461,0.40262,0.92005,0.42039,0.51101,0.16309,1
11,0.91582,0.03141,0.22119,0.14355,0.26274,0.1621,0.17764,0.12086,0.60451,0.14281,0.77026,0.66293,0.13652,0.18285,0.10519,0.13445,0.65911,0.12917,0.15869,0.093773,0.13973,0.59628,0.37846,0.38976,0.21913,1
12,0.79235,0.44983,0.54233,0.037418,0.26248,0.02785,0.028738,0.2553,0.57193,0.27862,0.54097,0.57728,0.25716,0.59795,0.11412,0.32225,0.074651,0.25665,0.16058,0.089911,0.19269,0.51881,0.006247,0.021961,0.020301,1
13,0.17325,0.2132,0.13185,0.085737,0.066211,0.086056,0.17092,0.28851,0.66001,0.096227,0.71586,0.59558,0.092542,0.41016,0.38209,0.12139,0.72037,0.19821,0.52128,0.3301,0.45376,0.99784,0.23313,0.14175,0.43092,1
14,0.70338,0.092404,0.16337,0.019881,0.026699,0.043832,0.19661,0.02918,0.93222,0.048294,0.72245,0.97536,0.028549,0.37772,0.3036,0.12546,0.2921,0.092465,0.14583,0.14064,0.47141,0.86578,0.42002,0.094852,0.21644,1
15,1,0.87793,0.30475,0.066425,0.43868,0.039035,0.024877,0.030843,0.65375,0.34124,0.56861,0.59908,0.38851,0.45293,0.18702,0.20148,0.015915,0.29196,0.14559,0.081623,0.064073,0.60197,0.119,0.065997,0.005414,1
16,0.22515,0.95023,0.24762,0.44412,0.13444,0.16728,0.30058,0.44234,0.87825,0.28461,0.52226,0.88559,0.17428,0.16579,0.17967,0.26982,0.17335,0.20962,0.40716,0.28525,0.38791,0.87885,0.25998,0.54491,0.058928,1
17,0.87957,0,0.34887,0.01097,0.095458,0.013325,0.087049,0.007072,0.59921,0.10033,0.88584,0.60599,0.11611,0.29456,0.045882,0.18212,0.43175,0.21739,0.28429,0.064395,0.070665,0.72518,0.78769,0.23201,0.53584,1
18,0.50127,0.97773,0.3491,0.42451,0.20107,0.054523,0.052948,0.029069,0.8151,0.11891,0.53248,0.59142,0.19995,0.43702,0.13855,0.061348,0.70932,0.13485,0.12657,0.075159,0.17968,0.51408,0.050882,0.11337,0.87515,1
19,0.55132,0.27939,0.25079,0.02457,0.028561,0.085446,0.1642,0.44938,0.72411,0.12272,0.71128,0.73676,0.095071,0.35009,0.237,0.18628,0.35048,0.24256,0.41775,0.51294,0.41,0.94303,0.51708,0.29079,0.087322,1
20,0.44311,0.84769,0.086771,0.1047,0.057693,0.084187,0.42076,0.1755,0.81802,0.19511,0.31273,0.76655,0.097797,0.6311,0.48955,0.24148,0.2543,0.24779,0.24684,0.1703,0.38074,0.72156,0.55326,0.15119,0.12603,1
21,0.52092,0,0.099739,0.22417,0.21842,0.2481,0.28324,0.062399,0.98529,0.37238,0.45987,1,0.4643,0.20214,0.085826,0.1749,0.15346,0.40841,0.36868,0.23445,0.18378,0.95307,0.18013,0.23543,0.01311,1
22,0.21071,0.013252,0.30466,0.003208,0.007178,0.002243,0.053083,0.018546,0.87142,0.022501,0.96522,0.84601,0.022489,0.28089,0.31883,0.16167,0.42829,0.29992,0.29279,0.31377,0.25821,0.98872,0.073683,0.077276,0.023723,1
23,0.94238,0.75127,0.58967,0.03263,0.006882,0,0,0.011047,0.92573,0.079335,0.68798,0.93653,0.070291,0.48869,0.047648,0.15255,0.29414,0.192,0.57673,0.33673,0.60362,0.91817,0.05824,0.00114,0,1
24,0.089237,0.088486,0.1629,0.034893,0.010815,0.042093,0.17677,0.05295,0.64645,0.056718,0.75766,0.62812,0.047963,0.2307,0.16495,0.11476,0.29983,0.1257,0.15269,0.14476,0.23228,0.79335,0.076857,0.054936,0.26501,1
25,0.46824,0.70466,0.11071,0.19811,0.19955,0.15629,0.30484,0.65459,0.88728,0.29612,0.41117,0.94958,0.50061,0.71734,0.42877,0.32627,0.27978,0.451,0.47957,0.43289,0.40394,0.90018,0.39795,0.49138,0.15506,1
26,0.4243,0.12299,0.11708,0.1918,0.48237,0.11096,0.085164,0.025566,0.59711,0.27473,0.73362,0.57482,0.34032,0.30952,0.34245,0.1693,0.37205,0.2167,0.22792,0.13013,0.25245,0.82477,0.46317,0.44527,0.40017,1
27,0.22676,0.032153,-0.065195,0.066284,0.12139,0.053547,0.054345,0.17201,0.77149,0.040168,0.77674,0.62079,0.026858,0.17564,0.65616,0.27136,0.3639,0.17878,0.46894,0.31325,0.46246,0.81982,0.28301,0.29336,0.46403,1
28,0.58202,0.17231,-0.029708,0.10693,0.56155,0.15725,0.17274,0.066922,0.74422,0.31986,0.94557,0.75009,0.32595,0.35951,0.53948,0.30452,0.4122,0.26915,0.49155,0.40102,0.62785,0.4856,0.06322,0.26651,0.008204,1
