% Generated by PAnDConv in Tue Nov  1 10:31:45 2011
% Author: Paulo Joia Filho
% instances: 3028
% dimension: 13
% classes:   3
% 
% Link to Dataset: (Example 3: US counties) 
% http://www.cs.umd.edu/hcil/hce/examples/application_examples.html
% 
%
% Data source:
% 
% County-by-County data:
% http://users.erols.com/turboperl/dcmaps.html 
% 
% FIPS code - county names:
% http://www.census.gov/population/cencounts/1900-90.txt
% http://www.arfsys.com/indep.htm ( Denali Alaska 02068 )
% 
%
% The meaning of each column :
%    
%    1. HomeValue2000: median value of owner-occupied housing value, 2000
%    2. Income1999: per capita money income, 1999
%    3. Poverty1999: percent below poverty level, 1999
%    4. PopDensity2000: population, 2000
%    5. PopChange: population percent change, 4/1/2000-7/1/2001
%    6. Prcnt65+: population 65 years old and over, 2000
%    7. Below18: person under 18 years old, 2000
%    8. PrcntFemale2000: percent of female persons, 2000
%    9. PrcntHSgrads2000: percent of high school graduates age 25+, 2000
%   10. PrcntCollege2000: percent of college graduates or higher age 25+, 2000
%   11. Unemployed: person unemployed, 1999
%   12. PrcntBelow18: percent under 18 years old, 2000
%   13. FarmAcres: farm land (acres), 1997
%   14. LifeExpectancy_classes: life expectancy, 1997
%
%   
% Notice:
% 
%   - Incomplete instances were removed from original dataset.
%
%   - The column "LifeExpectancy_classes" was adapted from "LifeExpectancy" in order to create three distinc classes, as following: 
%
%     65 <= LE < 74 -> class 0;
%     74 <= LE < 76 -> class 1;
%     76 <= LE < 80 -> class 2.


@RELATION DY

@ATTRIBUTE	id	STRING
@ATTRIBUTE	HomeValue2000	REAL
@ATTRIBUTE	Income1999	REAL
@ATTRIBUTE	Poverty1999	REAL
@ATTRIBUTE	PopDensity2000	REAL
@ATTRIBUTE	PopChange	REAL
@ATTRIBUTE	Prcnt65Plus	REAL
@ATTRIBUTE	Below18	REAL
@ATTRIBUTE	PrcntFemale2000	REAL
@ATTRIBUTE	PrcntHSgrads2000	REAL
@ATTRIBUTE	PrcntCollege2000	REAL
@ATTRIBUTE	Unemployed	REAL
@ATTRIBUTE	PrcntBelow18	REAL
@ATTRIBUTE	FarmAcres	REAL
@ATTRIBUTE	class {0,1,2}

@DATA
0,0.1264,0.41186,0.19156,0.0045876,0.20588,0.29395,0.004683,0.89547,0.81134,0.31524,0.0031669,0.63135,0.016875,0
1,0.16333,0.46319,0.1775,0.014751,0.27941,0.44669,0.012864,0.8885,0.84536,0.40455,0.0086761,0.53863,0.026664,1
2,0.091467,0.29616,0.471,0.0030504,-0.022059,0.38329,0.0027673,0.84321,0.66701,0.19089,0.0023862,0.56071,0.024765,0
3,0.099467,0.31371,0.36204,0.0021878,0.10294,0.33429,0.0019813,0.84321,0.65155,0.12434,0.0018144,0.56071,0.0075535,0
4,0.11573,0.36308,0.20562,0.00536,0.17647,0.37176,0.0048531,0.87282,0.72577,0.16813,0.0024742,0.56071,0.022306,1
5,0.075467,0.22604,0.58875,0.0012305,-0.13235,0.3804,0.0011462,0.82927,0.62371,0.13485,0.0016458,0.57616,0.027171,0
6,0.076933,0.34952,0.43234,0.002248,-0.088235,0.47262,0.0021567,0.92683,0.69897,0.18214,0.004985,0.59382,0.015669,0
7,0.095467,0.38626,0.28295,0.011792,-0.058824,0.40634,0.0099161,0.90941,0.76186,0.2662,0.010245,0.52097,0.01247,0
8,0.078533,0.33688,0.29877,0.003843,-0.022059,0.46686,0.0033797,0.91986,0.66186,0.16637,0.0028664,0.54305,0.015183,0
9,0.10147,0.34569,0.27417,0.0025199,0.051471,0.45821,0.001994,0.88502,0.65464,0.16988,0.0018511,0.49007,0.019828,0
10,0.10907,0.34035,0.27592,0.0041592,0.073529,0.37176,0.00381,0.87979,0.68247,0.17338,0.0026208,0.56733,0.015903,0
11,0.080667,0.3255,0.43058,0.0016726,-0.095588,0.42075,0.0015547,0.92334,0.6701,0.16813,0.0019683,0.57616,0.010472,0
12,0.090533,0.3243,0.39719,0.0029274,-0.022059,0.38905,0.0029277,0.91812,0.7299,0.21191,0.0043216,0.6181,0.009894,0
13,0.082933,0.30659,0.30053,0.0014974,0.014706,0.4755,0.0012732,0.89199,0.68041,0.1366,0.0013306,0.52539,0.012119,0
14,0.095067,0.32832,0.24429,0.0014836,0.088235,0.39481,0.0012875,0.87456,0.64845,0.16112,0.0011473,0.53642,0.0081782,0
15,0.10213,0.40748,0.25835,0.0045817,-0.044118,0.40634,0.0040503,0.89199,0.75464,0.338,0.0037974,0.54746,0.030112,1
16,0.0964,0.38995,0.24605,0.005776,0.014706,0.4438,0.0049015,0.90767,0.75567,0.24694,0.0067114,0.52539,0.018608,1
17,0.078133,0.28833,0.46749,0.00148,-0.13235,0.45533,0.0013673,0.91812,0.69794,0.16112,0.0020343,0.57174,0.014216,0
18,0.079333,0.33083,0.26186,0.0012818,-0.036765,0.41499,0.0010836,0.85192,0.67732,0.14011,0.0010813,0.52318,0.0067182,0
19,0.0756,0.34173,0.32337,0.0039531,-0.10294,0.51585,0.0033209,0.90941,0.70515,0.21366,0.0051609,0.51876,0.028997,0
20,0.0684,0.32394,0.3884,0.0014355,0.029412,0.4928,0.0012639,0.91812,0.61959,0.19615,0.0021993,0.54525,0.020849,0
21,0.11333,0.37636,0.22847,0.0081395,0.036765,0.42075,0.0070428,0.88328,0.72577,0.20841,0.0057438,0.53642,0.03267,1
22,0.092,0.35608,0.26538,0.005161,-0.022059,0.34006,0.0048902,0.87805,0.80206,0.24518,0.0038084,0.5872,0.021093,1
23,0.085467,0.30332,0.54657,0.0048706,-0.051471,0.40058,0.0049674,0.94948,0.72474,0.24343,0.007943,0.63135,0.040048,0
24,0.0896,0.35181,0.27065,0.0067706,0.11765,0.39769,0.0059592,0.89024,0.65773,0.14536,0.0046698,0.54525,0.036023,1
25,0.13067,0.39255,0.17926,0.00692,0.17647,0.30836,0.0063434,0.86063,0.8,0.29072,0.0037644,0.56733,0.020012,0
26,0.088933,0.32018,0.36731,0.0040381,-0.051471,0.39193,0.0034745,0.85889,0.70619,0.18564,0.0038744,0.53201,0.01402,0
27,0.094933,0.37327,0.27592,0.010868,-0.029412,0.4611,0.0092407,0.90767,0.76392,0.23468,0.012704,0.52539,0.015294,0
28,0.085467,0.32114,0.30404,0.0019429,-0.066176,0.46398,0.0016582,0.9007,0.68144,0.16112,0.0028444,0.52759,0.010142,1
29,0.083733,0.32948,0.33216,0.00328,-0.073529,0.42939,0.0028655,0.88676,0.64021,0.16988,0.0045488,0.54084,0.020684,0
30,0.074533,0.32516,0.34446,0.0027065,-0.095588,0.46974,0.0023175,0.89547,0.67629,0.15236,0.0029507,0.5298,0.033274,1
31,0.076,0.30439,0.60281,0.0010478,-0.036765,0.42363,0.0010911,0.92509,0.66804,0.18389,0.0014112,0.64459,0.019848,0
32,0.0884,0.28159,0.47276,0.0018053,0.029412,0.38905,0.0019067,0.91986,0.67216,0.14186,0.00195,0.65342,0.025404,0
33,0.092133,0.34876,0.33568,0.0017134,-0.0073529,0.47262,0.0014712,0.91463,0.68763,0.24694,0.0012389,0.53201,0.024725,0
34,0.10933,0.41722,0.26362,0.009327,0.036765,0.39481,0.0086155,0.91463,0.78866,0.32224,0.0062203,0.57174,0.031922,1
35,0.096533,0.35586,0.24077,0.0056649,0.029412,0.38617,0.0048861,0.89373,0.69072,0.18214,0.0062569,0.53422,0.035618,0
36,0.12093,0.46466,0.26011,0.069548,-0.022059,0.39193,0.06156,0.9216,0.83402,0.43082,0.042215,0.54746,0.0066565,0
37,0.0736,0.32105,0.28295,0.0016707,-0.14706,0.45821,0.0014056,0.9007,0.67113,0.1366,0.0025145,0.52097,0.011491,1
38,0.11333,0.41426,0.25308,0.0092408,-0.044118,0.43516,0.0075964,0.90941,0.78763,0.32399,0.0095851,0.50773,0.034075,1
39,0.1,0.36731,0.26889,0.003656,0.029412,0.3487,0.0033509,0.8885,0.67629,0.13135,0.0036471,0.56733,0.03301,1
40,0.1388,0.38161,0.38313,0.01209,0.095588,0.23343,0.010046,0.88502,0.83918,0.48862,0.0063632,0.51435,0.012205,1
41,0.1152,0.39549,0.21617,0.0068992,0.14706,0.31988,0.0061249,0.85714,0.76804,0.29597,0.0039037,0.54967,0.040888,1
42,0.074,0.27706,0.55185,0.0014153,-0.029412,0.35159,0.0015248,0.92683,0.66289,0.19264,0.001928,0.66667,0.027869,0
43,0.0856,0.30501,0.57645,0.0025322,-0.029412,0.40346,0.0022793,0.94251,0.72165,0.32925,0.0023899,0.55629,0.020507,0
44,0.13773,0.51357,0.18453,0.029067,0.13971,0.31124,0.026532,0.89199,0.88041,0.6007,0.017187,0.56512,0.033893,1
45,0.087867,0.34047,0.45518,0.0023677,-0.058824,0.42075,0.0024071,0.92509,0.74124,0.21191,0.002148,0.62914,0.031955,0
46,0.084667,0.34075,0.27417,0.003279,-0.13971,0.45533,0.002638,0.87979,0.65155,0.14011,0.0047578,0.49669,0.015795,1
47,0.10787,0.38008,0.25835,0.0086383,0.0073529,0.40922,0.0076601,0.89373,0.71546,0.24343,0.009127,0.54967,0.023533,0
48,0.10733,0.38206,0.32513,0.042003,0,0.34582,0.041185,0.90941,0.79072,0.32574,0.037402,0.60706,0.019538,0
49,0.0892,0.33055,0.37434,0.0025552,-0.044118,0.39769,0.0025799,0.91289,0.7,0.20665,0.0042446,0.62472,0.021669,0
